frame,x_center,y_center
1350,357,142
1351,357,142
1352,358,142
1353,358,141
1354,358,141
1355,358,141
1356,359,141
1357,358,141
1358,357,141
1359,358,141
1360,358,141
1361,358,141
1362,358,141
1363,358,141
1364,358,141
1365,357,141
1366,357,142
1367,358,142
1368,358,142
1369,358,142
1370,358,142
1371,358,142
1372,358,142
1373,357,142
1374,358,142
1375,358,142
1376,357,142
1377,358,142
1378,361,140
1379,358,142
1380,360,140
1381,360,141
1382,360,140
1383,360,140
1384,360,140
1385,358,143
1386,357,142
1387,357,142
1388,358,142
1389,358,142
1390,358,142
1391,358,142
1392,357,142
1393,360,141
1394,360,141
1395,360,141
1396,361,141
1397,360,141
1398,360,141
1399,360,140
1400,360,141
1401,360,141
1402,360,141
1403,360,141
1404,361,140
1405,361,140
1406,361,140
1407,361,140
1408,361,140
1409,361,140
1410,362,140
1411,363,140
1412,363,141
1413,363,141
1414,364,141
1415,362,141
1416,362,141
1417,362,141
1418,361,141
1419,361,141
1420,361,141
1421,359,143
1422,362,141
1423,361,141
1424,361,141
1425,361,140
1426,361,141
1427,361,141
1428,361,141
1429,361,141
1430,360,141
1431,359,141
1432,358,143
1433,358,143
1434,360,141
1435,361,141
1436,358,143
1437,358,143
1438,357,143
1439,357,143
1440,360,140
1441,360,140
1442,360,140
1443,361,141
1444,360,140
1445,360,140
1446,359,140
1447,359,141
1448,359,141
1449,359,141
1450,359,141
1451,359,141
1452,360,141
1453,360,141
1454,360,141
1455,360,141
1456,361,141
1457,360,141
1458,359,141
1459,359,141
1460,359,141
1461,359,141
1462,358,141
1463,359,141
1464,359,141
1465,359,141
1466,359,141
1467,358,141
1468,359,141
1469,357,142
1470,357,142
1471,357,143
1472,357,143
1473,358,143
1474,358,142
1475,357,142
1476,357,142
1477,358,142
1478,358,142
1479,358,142
1480,360,141
1481,360,141
1482,360,142
1483,358,142
1484,363,142
1485,359,142
1486,363,141
1487,362,142
1488,358,142
1489,358,142
1490,361,142
1491,361,142
1492,360,142
1493,361,142
1494,361,142
1495,361,142
1496,362,142
1497,362,142
1498,359,142
1499,357,143
1500,360,142
1501,361,142
1502,361,142
1503,361,142
1504,361,142
1505,360,142
1506,360,142
1507,360,142
1508,360,142
1509,360,142
1510,360,142
1511,360,142
1512,360,142
1513,360,142
1514,360,142
1515,360,142
1516,360,142
1517,361,142
1518,361,142
1519,361,142
1520,361,142
1521,362,141
1522,361,141
1523,362,141
1524,362,141
1525,362,141
1526,363,142
1527,362,142
1528,362,142
1529,362,142
1530,362,141
1531,362,142
1532,362,142
1533,361,142
1534,361,142
1535,361,142
1536,361,142
1537,361,142
1538,361,142
1539,361,142
1540,362,142
1541,361,141
1542,362,142
1543,361,141
1544,362,142
1545,361,142
1546,361,141
1547,361,142
1548,361,142
1549,360,142
1550,360,142
1551,360,142
1552,360,142
1553,360,142
1554,360,142
1555,360,142
1556,360,142
1557,360,142
1558,360,142
1559,360,142
1560,358,140
1561,358,140
1562,358,140
1563,358,140
1564,359,140
